course_id,title,category,difficulty,skills,description,duration_hours,rating
23,Hands-on TypeScript,Frontend Development,Beginner,"JavaScript, animations, CSS, responsive design","This course on Hands-on TypeScript covers JavaScript, animations, CSS, responsive design. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",4,4.4
24,Building Projects with JavaScript,Frontend Development,Beginner,"React, CSS, animations, TypeScript","This course on Building Projects with JavaScript covers React, CSS, animations, TypeScript. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",4,4.9
25,Mastering accessibility,Frontend Development,Advanced,"JavaScript, UI components, Vue, CSS","This course on Mastering accessibility covers JavaScript, UI components, Vue, CSS. Designed for advanced learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",15,3.7
26,Building Projects with animations,Frontend Development,Intermediate,"JavaScript, Vue, state management, CSS","This course on Building Projects with animations covers JavaScript, Vue, state management, CSS. Designed for intermediate learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",4,3.6
27,Complete Guide to state management,Frontend Development,Intermediate,"state management, Vue, React, accessibility","This course on Complete Guide to state management covers state management, Vue, React, accessibility. Designed for intermediate learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",20,5.0
28,Introduction to CSS,Frontend Development,Intermediate,"accessibility, CSS, JavaScript, TypeScript","This course on Introduction to CSS covers accessibility, CSS, JavaScript, TypeScript. Designed for intermediate learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",6,4.3
29,responsive design Bootcamp,Frontend Development,Beginner,"UI components, Vue, JavaScript, state management","This course on responsive design Bootcamp covers UI components, Vue, JavaScript, state management. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",4,4.2
30,Mastering TypeScript,Frontend Development,Beginner,"TypeScript, React, CSS, state management","This course on Mastering TypeScript covers TypeScript, React, CSS, state management. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",30,3.9
31,Hands-on state management,Frontend Development,Intermediate,"JavaScript, state management, React, CSS","This course on Hands-on state management covers JavaScript, state management, React, CSS. Designed for intermediate learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",10,3.5
32,state management in Practice,Frontend Development,Intermediate,"UI components, state management, Vue, CSS","This course on state management in Practice covers UI components, state management, Vue, CSS. Designed for intermediate learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",6,3.9
33,Building Projects with React,Frontend Development,Advanced,"TypeScript, React, accessibility, animations","This course on Building Projects with React covers TypeScript, React, accessibility, animations. Designed for advanced learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",4,4.4
34,TypeScript Fundamentals,Frontend Development,Beginner,"React, TypeScript, CSS, state management","This course on TypeScript Fundamentals covers React, TypeScript, CSS, state management. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",6,3.6
35,Advanced statistics,Data Science,Intermediate,"statistics, regression, EDA, NumPy","This course on Advanced statistics covers statistics, regression, EDA, NumPy. Designed for intermediate learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",4,4.4
36,Building Projects with NumPy,Data Science,Advanced,"SQL for analytics, hypothesis testing, data visualization, statistics","This course on Building Projects with NumPy covers SQL for analytics, hypothesis testing, data visualization, statistics. Designed for advanced learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",20,4.6
37,regression in Practice,Data Science,Intermediate,"data visualization, EDA, regression, SQL for analytics","This course on regression in Practice covers data visualization, EDA, regression, SQL for analytics. Designed for intermediate learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",30,4.9
38,Hands-on pandas,Data Science,Advanced,"statistics, SQL for analytics, EDA, data cleaning","This course on Hands-on pandas covers statistics, SQL for analytics, EDA, data cleaning. Designed for advanced learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",15,3.9
39,Mastering hypothesis testing,Data Science,Beginner,"hypothesis testing, EDA, statistics, regression","This course on Mastering hypothesis testing covers hypothesis testing, EDA, statistics, regression. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",30,4.3
40,Building Projects with EDA,Data Science,Advanced,"SQL for analytics, pandas, hypothesis testing, EDA","This course on Building Projects with EDA covers SQL for analytics, pandas, hypothesis testing, EDA. Designed for advanced learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",8,4.9
41,statistics for Beginners,Data Science,Intermediate,"statistics, SQL for analytics, hypothesis testing, EDA","This course on statistics for Beginners covers statistics, SQL for analytics, hypothesis testing, EDA. Designed for intermediate learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",6,3.9
42,Complete Guide to regression,Data Science,Beginner,"EDA, data cleaning, data visualization, pandas","This course on Complete Guide to regression covers EDA, data cleaning, data visualization, pandas. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",4,4.5
43,Introduction to EDA,Data Science,Beginner,"hypothesis testing, data visualization, SQL for analytics, data cleaning","This course on Introduction to EDA covers hypothesis testing, data visualization, SQL for analytics, data cleaning. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",6,4.6
44,SQL for analytics Bootcamp,Data Science,Advanced,"pandas, statistics, SQL for analytics, hypothesis testing","This course on SQL for analytics Bootcamp covers pandas, statistics, SQL for analytics, hypothesis testing. Designed for advanced learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",6,4.3
45,Building Projects with hypothesis testing,Data Science,Advanced,"data visualization, NumPy, statistics, pandas","This course on Building Projects with hypothesis testing covers data visualization, NumPy, statistics, pandas. Designed for advanced learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",8,4.0
46,Complete Guide to pandas,Data Science,Beginner,"regression, statistics, data visualization, EDA","This course on Complete Guide to pandas covers regression, statistics, data visualization, EDA. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",30,4.1
47,Advanced data visualization,Data Science,Beginner,"data visualization, NumPy, pandas, statistics","This course on Advanced data visualization covers data visualization, NumPy, pandas, statistics. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",20,4.9
48,Advanced NumPy,Data Science,Intermediate,"data visualization, statistics, regression, pandas","This course on Advanced NumPy covers data visualization, statistics, regression, pandas. Designed for intermediate learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",30,4.2
49,Hands-on regression,Data Science,Intermediate,"EDA, regression, statistics, pandas","This course on Hands-on regression covers EDA, regression, statistics, pandas. Designed for intermediate learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",20,3.8
50,hypothesis testing in Practice,Data Science,Beginner,"EDA, hypothesis testing, data cleaning, SQL for analytics","This course on hypothesis testing in Practice covers EDA, hypothesis testing, data cleaning, SQL for analytics. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",10,4.5
51,Complete Guide to SQL for analytics,Data Science,Beginner,"statistics, EDA, SQL for analytics, data cleaning","This course on Complete Guide to SQL for analytics covers statistics, EDA, SQL for analytics, data cleaning. Designed for beginner learners aiming to build practical, job-ready skills in data science. Includes hands-on projects and real-world case studies.",8,3.6
52,Complete Guide to transformers,Machine Learning,Advanced,"PyTorch, transformers, deep learning, computer vision","This course on Complete Guide to transformers covers PyTorch, transformers, deep learning, computer vision. Designed for advanced learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",4,4.1
53,feature engineering in Practice,Machine Learning,Beginner,"transformers, neural networks, deep learning, NLP","This course on feature engineering in Practice covers transformers, neural networks, deep learning, NLP. Designed for beginner learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",20,4.6
54,Complete Guide to feature engineering,Machine Learning,Intermediate,"scikit-learn, PyTorch, deep learning, model evaluation","This course on Complete Guide to feature engineering covers scikit-learn, PyTorch, deep learning, model evaluation. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",20,4.8
55,deep learning Fundamentals,Machine Learning,Intermediate,"transformers, PyTorch, feature engineering, computer vision","This course on deep learning Fundamentals covers transformers, PyTorch, feature engineering, computer vision. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",8,4.3
56,feature engineering Bootcamp,Machine Learning,Advanced,"transformers, model evaluation, deep learning, NLP","This course on feature engineering Bootcamp covers transformers, model evaluation, deep learning, NLP. Designed for advanced learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",8,4.1
57,neural networks in Practice,Machine Learning,Intermediate,"feature engineering, transformers, computer vision, deep learning","This course on neural networks in Practice covers feature engineering, transformers, computer vision, deep learning. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",15,4.5
58,Hands-on computer vision,Machine Learning,Intermediate,"feature engineering, computer vision, transformers, PyTorch","This course on Hands-on computer vision covers feature engineering, computer vision, transformers, PyTorch. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",6,4.5
59,deep learning Fundamentals,Machine Learning,Advanced,"PyTorch, scikit-learn, transformers, computer vision","This course on deep learning Fundamentals covers PyTorch, scikit-learn, transformers, computer vision. Designed for advanced learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",20,4.0
60,feature engineering for Beginners,Machine Learning,Beginner,"neural networks, feature engineering, computer vision, deep learning","This course on feature engineering for Beginners covers neural networks, feature engineering, computer vision, deep learning. Designed for beginner learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",30,4.7
61,computer vision Bootcamp,Machine Learning,Advanced,"feature engineering, transformers, NLP, computer vision","This course on computer vision Bootcamp covers feature engineering, transformers, NLP, computer vision. Designed for advanced learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",6,3.7
62,Mastering neural networks,Machine Learning,Intermediate,"feature engineering, model evaluation, transformers, PyTorch","This course on Mastering neural networks covers feature engineering, model evaluation, transformers, PyTorch. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",15,4.2
63,Advanced NLP,Machine Learning,Beginner,"computer vision, model evaluation, transformers, feature engineering","This course on Advanced NLP covers computer vision, model evaluation, transformers, feature engineering. Designed for beginner learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",20,4.3
64,Building Projects with NLP,Machine Learning,Intermediate,"computer vision, transformers, NLP, deep learning","This course on Building Projects with NLP covers computer vision, transformers, NLP, deep learning. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",10,4.8
65,Hands-on computer vision,Machine Learning,Intermediate,"feature engineering, deep learning, transformers, computer vision","This course on Hands-on computer vision covers feature engineering, deep learning, transformers, computer vision. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",10,4.4
66,Hands-on deep learning,Machine Learning,Beginner,"deep learning, feature engineering, model evaluation, transformers","This course on Hands-on deep learning covers deep learning, feature engineering, model evaluation, transformers. Designed for beginner learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",8,4.8
67,scikit-learn for Beginners,Machine Learning,Beginner,"feature engineering, transformers, PyTorch, scikit-learn","This course on scikit-learn for Beginners covers feature engineering, transformers, PyTorch, scikit-learn. Designed for beginner learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",20,3.8
68,transformers Bootcamp,Machine Learning,Intermediate,"NLP, computer vision, feature engineering, neural networks","This course on transformers Bootcamp covers NLP, computer vision, feature engineering, neural networks. Designed for intermediate learners aiming to build practical, job-ready skills in machine learning. Includes hands-on projects and real-world case studies.",6,4.7
69,Building Projects with load balancing,Cloud & DevOps,Advanced,"AWS, load balancing, CI/CD, networking basics","This course on Building Projects with load balancing covers AWS, load balancing, CI/CD, networking basics. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",8,3.9
70,load balancing Bootcamp,Cloud & DevOps,Advanced,"networking basics, CI/CD, serverless, Docker","This course on load balancing Bootcamp covers networking basics, CI/CD, serverless, Docker. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",8,4.2
71,AWS Bootcamp,Cloud & DevOps,Intermediate,"load balancing, Kubernetes, networking basics, CI/CD","This course on AWS Bootcamp covers load balancing, Kubernetes, networking basics, CI/CD. Designed for intermediate learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",6,5.0
72,Introduction to networking basics,Cloud & DevOps,Intermediate,"AWS, Docker, monitoring, CI/CD","This course on Introduction to networking basics covers AWS, Docker, monitoring, CI/CD. Designed for intermediate learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",6,4.8
73,Introduction to Kubernetes,Cloud & DevOps,Intermediate,"load balancing, monitoring, Docker, CI/CD","This course on Introduction to Kubernetes covers load balancing, monitoring, Docker, CI/CD. Designed for intermediate learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",8,4.0
74,load balancing in Practice,Cloud & DevOps,Intermediate,"Terraform, Docker, CI/CD, AWS","This course on load balancing in Practice covers Terraform, Docker, CI/CD, AWS. Designed for intermediate learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",20,4.3
75,Advanced monitoring,Cloud & DevOps,Advanced,"Docker, AWS, load balancing, serverless","This course on Advanced monitoring covers Docker, AWS, load balancing, serverless. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",6,3.8
76,Building Projects with AWS,Cloud & DevOps,Beginner,"CI/CD, Kubernetes, networking basics, monitoring","This course on Building Projects with AWS covers CI/CD, Kubernetes, networking basics, monitoring. Designed for beginner learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",4,4.3
77,Hands-on CI/CD,Cloud & DevOps,Advanced,"Terraform, monitoring, Docker, networking basics","This course on Hands-on CI/CD covers Terraform, monitoring, Docker, networking basics. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",15,4.9
78,Docker for Beginners,Cloud & DevOps,Intermediate,"Docker, AWS, Kubernetes, Terraform","This course on Docker for Beginners covers Docker, AWS, Kubernetes, Terraform. Designed for intermediate learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",20,4.9
79,load balancing Bootcamp,Cloud & DevOps,Advanced,"CI/CD, Docker, Terraform, monitoring","This course on load balancing Bootcamp covers CI/CD, Docker, Terraform, monitoring. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",30,4.4
80,Docker in Practice,Cloud & DevOps,Advanced,"Docker, AWS, Kubernetes, Terraform","This course on Docker in Practice covers Docker, AWS, Kubernetes, Terraform. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",10,4.5
81,Docker Fundamentals,Cloud & DevOps,Advanced,"monitoring, AWS, load balancing, CI/CD","This course on Docker Fundamentals covers monitoring, AWS, load balancing, CI/CD. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",30,4.2
82,Complete Guide to load balancing,Cloud & DevOps,Advanced,"serverless, Kubernetes, CI/CD, Docker","This course on Complete Guide to load balancing covers serverless, Kubernetes, CI/CD, Docker. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",20,4.3
83,Building Projects with Terraform,Cloud & DevOps,Advanced,"serverless, networking basics, CI/CD, monitoring","This course on Building Projects with Terraform covers serverless, networking basics, CI/CD, monitoring. Designed for advanced learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",15,3.9
84,Mastering CI/CD,Cloud & DevOps,Intermediate,"serverless, CI/CD, load balancing, networking basics","This course on Mastering CI/CD covers serverless, CI/CD, load balancing, networking basics. Designed for intermediate learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",15,4.4
85,Complete Guide to load balancing,Cloud & DevOps,Beginner,"serverless, monitoring, Docker, CI/CD","This course on Complete Guide to load balancing covers serverless, monitoring, Docker, CI/CD. Designed for beginner learners aiming to build practical, job-ready skills in cloud & devops. Includes hands-on projects and real-world case studies.",6,4.0
86,Complete Guide to cryptography,Cybersecurity,Intermediate,"threat modeling, secure coding, cryptography, penetration testing","This course on Complete Guide to cryptography covers threat modeling, secure coding, cryptography, penetration testing. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",15,4.9
87,Advanced penetration testing,Cybersecurity,Advanced,"OWASP top 10, incident response, threat modeling, network security","This course on Advanced penetration testing covers OWASP top 10, incident response, threat modeling, network security. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",20,4.2
88,Hands-on secure coding,Cybersecurity,Intermediate,"incident response, penetration testing, secure coding, cryptography","This course on Hands-on secure coding covers incident response, penetration testing, secure coding, cryptography. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",6,4.1
89,network security in Practice,Cybersecurity,Advanced,"threat modeling, cryptography, OWASP top 10, secure coding","This course on network security in Practice covers threat modeling, cryptography, OWASP top 10, secure coding. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",10,5.0
90,Complete Guide to threat modeling,Cybersecurity,Intermediate,"secure coding, OWASP top 10, cryptography, threat modeling","This course on Complete Guide to threat modeling covers secure coding, OWASP top 10, cryptography, threat modeling. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",8,3.8
91,Advanced secure coding,Cybersecurity,Intermediate,"penetration testing, secure coding, threat modeling, network security","This course on Advanced secure coding covers penetration testing, secure coding, threat modeling, network security. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",6,3.8
92,OWASP top 10 in Practice,Cybersecurity,Advanced,"threat modeling, incident response, secure coding, cryptography","This course on OWASP top 10 in Practice covers threat modeling, incident response, secure coding, cryptography. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",4,4.7
93,Advanced cryptography,Cybersecurity,Intermediate,"network security, cryptography, penetration testing, incident response","This course on Advanced cryptography covers network security, cryptography, penetration testing, incident response. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",8,3.6
94,penetration testing Fundamentals,Cybersecurity,Intermediate,"secure coding, network security, OWASP top 10, penetration testing","This course on penetration testing Fundamentals covers secure coding, network security, OWASP top 10, penetration testing. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",30,3.5
95,Hands-on cryptography,Cybersecurity,Intermediate,"OWASP top 10, cryptography, network security, penetration testing","This course on Hands-on cryptography covers OWASP top 10, cryptography, network security, penetration testing. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",8,4.9
96,Mastering OWASP top 10,Cybersecurity,Beginner,"OWASP top 10, incident response, penetration testing, threat modeling","This course on Mastering OWASP top 10 covers OWASP top 10, incident response, penetration testing, threat modeling. Designed for beginner learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",6,3.7
97,threat modeling in Practice,Cybersecurity,Beginner,"network security, penetration testing, threat modeling, OWASP top 10","This course on threat modeling in Practice covers network security, penetration testing, threat modeling, OWASP top 10. Designed for beginner learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",15,4.4
98,Advanced threat modeling,Cybersecurity,Advanced,"OWASP top 10, incident response, secure coding, cryptography","This course on Advanced threat modeling covers OWASP top 10, incident response, secure coding, cryptography. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",30,4.4
99,OWASP top 10 in Practice,Cybersecurity,Advanced,"threat modeling, penetration testing, incident response, secure coding","This course on OWASP top 10 in Practice covers threat modeling, penetration testing, incident response, secure coding. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",30,3.8
100,network security in Practice,Cybersecurity,Advanced,"penetration testing, network security, secure coding, threat modeling","This course on network security in Practice covers penetration testing, network security, secure coding, threat modeling. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",15,3.6
101,penetration testing Bootcamp,Cybersecurity,Intermediate,"secure coding, threat modeling, OWASP top 10, cryptography","This course on penetration testing Bootcamp covers secure coding, threat modeling, OWASP top 10, cryptography. Designed for intermediate learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",4,3.8
102,secure coding in Practice,Cybersecurity,Advanced,"incident response, OWASP top 10, penetration testing, network security","This course on secure coding in Practice covers incident response, OWASP top 10, penetration testing, network security. Designed for advanced learners aiming to build practical, job-ready skills in cybersecurity. Includes hands-on projects and real-world case studies.",8,4.7
103,Building Projects with app store deployment,Mobile Development,Advanced,"offline storage, Kotlin, React Native, Flutter","This course on Building Projects with app store deployment covers offline storage, Kotlin, React Native, Flutter. Designed for advanced learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",15,3.8
104,Kotlin in Practice,Mobile Development,Beginner,"Flutter, offline storage, Kotlin, Swift","This course on Kotlin in Practice covers Flutter, offline storage, Kotlin, Swift. Designed for beginner learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",15,4.6
105,mobile UI patterns in Practice,Mobile Development,Intermediate,"Flutter, React Native, Swift, app store deployment","This course on mobile UI patterns in Practice covers Flutter, React Native, Swift, app store deployment. Designed for intermediate learners aiming to build practical, job-ready skills in mobile development. Includes hands-on projects and real-world case studies.",8,4.3
